,close,ema,datetime,high,low,open,date,time
0,18113.1,18129.92857142857,2023-01-02 09:15:00,18153.2,18112.15,18133.65,2023-01-02,09:15:00
1,18131.0,18130.0306122449,2023-01-02 09:20:00,18139.2,18096.6,18115.75,2023-01-02,09:20:00
2,18101.85,18127.34674441205,2023-01-02 09:25:00,18132.95,18091.35,18130.05,2023-01-02,09:25:00
3,18122.85,18126.91848303948,2023-01-02 09:30:00,18128.7,18086.5,18101.9,2023-01-02,09:30:00
4,18146.65,18128.797675130954,2023-01-02 09:35:00,18146.65,18112.4,18121.2,2023-01-02,09:35:00
5,18150.2,18130.83599178515,2023-01-02 09:40:00,18150.3,18135.0,18146.0,2023-01-02,09:40:00
6,18163.35,18133.932563996084,2023-01-02 09:45:00,18167.45,18140.35,18149.35,2023-01-02,09:45:00
7,18165.3,18136.9199388536,2023-01-02 09:50:00,18167.65,18156.85,18164.25,2023-01-02,09:50:00
8,18160.3,18139.14661134373,2023-01-02 09:55:00,18171.95,18158.45,18164.95,2023-01-02,09:55:00
9,18162.9,18141.408838834803,2023-01-02 10:00:00,18166.9,18154.7,18160.35,2023-01-02,10:00:00
10,18166.1,18143.760377993392,2023-01-02 10:05:00,18173.85,18159.5,18163.75,2023-01-02,10:05:00
11,18162.9,18145.58319913688,2023-01-02 10:10:00,18170.15,18160.3,18166.4,2023-01-02,10:10:00
12,18162.55,18147.199084933367,2023-01-02 10:15:00,18165.3,18156.1,18159.4,2023-01-02,10:15:00
13,18163.8,18179.897996691456,2023-01-03 09:15:00,18191.7,18153.3,18189.6,2023-01-03,09:15:00
14,18173.35,18179.274377958936,2023-01-03 09:20:00,18179.75,18155.35,18164.75,2023-01-03,09:20:00
15,18161.1,18177.543484819987,2023-01-03 09:25:00,18174.6,18149.8,18174.6,2023-01-03,09:25:00
16,18187.45,18178.48696245618,2023-01-03 09:30:00,18192.9,18161.25,18161.25,2023-01-03,09:30:00
17,18184.35,18179.045346984163,2023-01-03 09:35:00,18197.65,18182.7,18187.1,2023-01-03,09:35:00
18,18193.7,18180.44102822377,2023-01-03 09:40:00,18195.7,18184.65,18184.8,2023-01-03,09:40:00
19,18204.0,18182.684739821503,2023-01-03 09:45:00,18209.0,18188.6,18193.55,2023-01-03,09:45:00
20,18206.1,18184.91476460041,2023-01-03 09:50:00,18208.8,18199.1,18202.85,2023-01-03,09:50:00
21,18209.4,18187.24669178132,2023-01-03 09:55:00,18210.5,18198.35,18204.95,2023-01-03,09:55:00
22,18203.8,18188.82319732596,2023-01-03 10:00:00,18212.45,18202.9,18209.45,2023-01-03,10:00:00
23,18224.55,18192.22574996158,2023-01-03 10:05:00,18226.2,18201.7,18203.3,2023-01-03,10:05:00
24,18230.25,18195.847107108097,2023-01-03 10:10:00,18232.7,18221.75,18225.0,2023-01-03,10:10:00
25,18228.65,18198.97119214542,2023-01-03 10:15:00,18235.6,18227.5,18230.1,2023-01-03,10:15:00
26,18210.75,18226.02357203879,2023-01-04 09:15:00,18243.0,18200.1,18237.95,2023-01-04,09:15:00
27,18223.4,18225.773708035096,2023-01-04 09:20:00,18223.5,18207.45,18209.7,2023-01-04,09:20:00
28,18233.4,18226.500021555563,2023-01-04 09:25:00,18235.45,18220.1,18223.15,2023-01-04,09:25:00
29,18225.75,18226.428590931224,2023-01-04 09:30:00,18238.65,18225.55,18232.9,2023-01-04,09:30:00
30,18174.15,18221.449677509205,2023-01-04 09:35:00,18225.35,18172.15,18224.75,2023-01-04,09:35:00
31,18163.85,18215.9639939369,2023-01-04 09:40:00,18179.9,18161.9,18174.1,2023-01-04,09:40:00
32,18159.55,18210.59123260958,2023-01-04 09:45:00,18166.9,18148.85,18162.95,2023-01-04,09:45:00
33,18155.3,18205.325400932477,2023-01-04 09:50:00,18165.95,18150.6,18159.05,2023-01-04,09:50:00
34,18128.3,18197.989648462717,2023-01-04 09:55:00,18156.9,18128.05,18156.9,2023-01-04,09:55:00
35,18126.65,18191.19539622817,2023-01-04 10:00:00,18127.55,18113.7,18127.35,2023-01-04,10:00:00
36,18135.9,18185.92916801596,2023-01-04 10:05:00,18139.4,18122.75,18127.25,2023-01-04,10:05:00
37,18129.6,18180.56448534777,2023-01-04 10:10:00,18139.05,18124.2,18135.1,2023-01-04,10:10:00
38,18131.05,18175.84882007656,2023-01-04 10:15:00,18134.25,18122.4,18129.65,2023-01-04,10:15:00
39,18063.1,18066.437547240574,2023-01-05 09:15:00,18094.55,18044.15,18087.45,2023-01-05,09:15:00
40,18043.15,18064.21968559861,2023-01-05 09:20:00,18069.7,18031.15,18062.75,2023-01-05,09:20:00
41,18074.8,18065.227334589224,2023-01-05 09:25:00,18083.5,18039.05,18042.5,2023-01-05,09:25:00
42,18109.95,18069.48663605692,2023-01-05 09:30:00,18120.3,18071.6,18074.3,2023-01-05,09:30:00
43,18082.3,18070.70695643245,2023-01-05 09:35:00,18115.05,18080.15,18109.55,2023-01-05,09:35:00
44,18034.3,18067.239627248407,2023-01-05 09:40:00,18089.55,18034.1,18079.5,2023-01-05,09:40:00
45,18042.5,18064.88347227237,2023-01-05 09:45:00,18056.55,18028.4,18033.35,2023-01-05,09:45:00
46,18043.3,18062.827903484525,2023-01-05 09:50:00,18048.5,18027.05,18041.9,2023-01-05,09:50:00
47,18037.25,18060.391912676478,2023-01-05 09:55:00,18052.65,18033.25,18043.25,2023-01-05,09:55:00
48,18045.3,18058.954587659668,2023-01-05 10:00:00,18048.85,18033.1,18036.9,2023-01-05,10:00:00
49,18018.4,18055.092245977798,2023-01-05 10:05:00,18045.05,18013.5,18045.05,2023-01-05,10:05:00
50,18063.25,18055.86917493229,2023-01-05 10:10:00,18065.15,18014.75,18018.05,2023-01-05,10:10:00
51,18059.35,18056.200682081595,2023-01-05 10:15:00,18084.4,18052.05,18065.0,2023-01-05,10:15:00
52,17979.3,17969.966420288085,2023-01-06 09:15:00,18018.25,17977.5,18013.4,2023-01-06,09:15:00
53,18003.0,17973.112475498743,2023-01-06 09:20:00,18005.35,17970.2,17979.4,2023-01-06,09:20:00
54,17990.0,17974.72081116553,2023-01-06 09:25:00,18026.35,17987.9,18002.1,2023-01-06,09:25:00
55,18025.2,17979.52835295929,2023-01-06 09:30:00,18027.25,17976.4,17990.2,2023-01-06,09:30:00
56,18023.25,17983.692319344118,2023-01-06 09:35:00,18047.4,18023.15,18025.35,2023-01-06,09:35:00
57,18026.75,17987.793050835153,2023-01-06 09:40:00,18031.9,18014.85,18022.8,2023-01-06,09:40:00
58,18004.4,17989.374665041327,2023-01-06 09:45:00,18031.6,18003.5,18026.65,2023-01-06,09:45:00
59,18004.5,17990.81517313263,2023-01-06 09:50:00,18017.55,18002.35,18004.45,2023-01-06,09:50:00
60,17970.9,17988.918489977143,2023-01-06 09:55:00,18005.7,17970.9,18005.05,2023-01-06,09:55:00
61,17964.05,17986.55006236027,2023-01-06 10:00:00,17977.55,17959.6,17971.45,2023-01-06,10:00:00
62,17959.45,17983.969104040247,2023-01-06 10:05:00,17968.3,17955.65,17963.45,2023-01-06,10:05:00
63,17955.0,17981.2101417507,2023-01-06 10:10:00,17974.55,17953.65,17959.25,2023-01-06,10:10:00
64,17960.75,17979.26155682206,2023-01-06 10:15:00,17961.3,17943.5,17954.65,2023-01-06,10:15:00
